Status,Transaction ID,ID,Shipping,Total
Completed,2488,422,0.0,1260.0
Completed,2492,319,0.0,1308.0
Completed,2494,135,0.0,756.0
Completed,2496,135,0.0,1140.0
Completed,2509,423,0.0,1152.0
Completed,2511,424,0.0,547.2
Completed,2515,425,0.0,704.0
Completed,2518,129,0.0,804.0
Completed,2524,426,70.14,211.14
Completed,2530,427,0.0,1160.0
Completed,2539,428,0.0,507.0
Completed,2548,429,0.0,533.3
Completed,2557,430,0.0,408.1
Completed,2570,431,0.0,472.0
Completed,2584,234,0.0,453.0
Completed,2600,432,0.0,91.6
Completed,2605,433,0.0,404.8
Completed,2614,434,0.0,763.0
Completed,2618,435,0.0,674.0
Completed,2619,436,0.0,1220.0
Completed,2625,437,0.0,599.6
Completed,2634,438,0.0,816.0
Completed,2642,439,0.0,495.0
Completed,2656,440,100.08,2244.08
Completed,2658,313,0.0,647.8
Completed,2684,441,57.51,283.51
Completed,2687,442,0.0,420.0
Completed,2694,99,0.0,2401.32
Completed,2698,443,0.0,648.0
Completed,2701,236,0.0,570.0
Completed,2706,444,0.0,408.0
Completed,2715,445,0.0,537.6
Completed,2721,446,0.0,539.6
Completed,2734,447,0.0,564.0
Completed,2768,448,0.0,856.2
Completed,2769,449,0.0,588.0
Completed,2779,434,0.0,1648.0
Completed,2784,450,0.0,798.4
Completed,2790,451,0.0,428.8
Completed,2796,452,0.0,558.0
Completed,2804,453,0.0,750.0
Completed,2812,454,0.0,922.0
Completed,2818,337,0.0,921.7
Completed,2821,455,0.0,1035.6
Completed,2825,456,0.0,749.0
Completed,2832,457,0.0,1176.0
Completed,2837,458,0.0,722.0
Completed,2848,459,0.0,821.0
Completed,2849,460,0.0,476.0
Completed,2860,461,0.0,516.0
Completed,2872,462,55.26,331.26
Completed,2874,463,0.0,534.0
Completed,2886,464,0.0,411.0
Completed,2894,465,0.0,432.0
Completed,2897,466,0.0,645.6
Completed,2904,467,0.0,1869.0
Completed,2911,468,0.0,756.0
Completed,2913,469,0.0,493.0
Completed,2920,470,0.0,408.0
Completed,2926,380,0.0,1660.5
Completed,2941,471,0.0,425.41
Completed,2951,143,0.0,576.0
Completed,2959,472,0.0,576.0
Completed,2962,473,60.83,507.83
Completed,2965,474,24.44,232.44
Completed,2979,475,0.0,432.0
Completed,2984,339,0.0,710.4
Completed,2987,476,49.04,337.04
Completed,2999,477,0.0,420.0
Completed,3002,478,0.0,470.0
Completed,3007,169,0.0,401.8
Completed,3011,479,0.0,787.8
Completed,3016,480,0.0,534.0
Completed,3027,481,0.0,404.6
Completed,3036,482,0.0,1434.0
Completed,3056,483,0.0,1796.4
Completed,3060,484,0.0,417.4
Completed,3072,135,0.0,1896.0
Completed,3083,485,44.02,343.82
Completed,3085,486,0.0,490.0
Completed,3121,487,0.0,1740.0
Completed,3128,488,0.0,459.6
Completed,3132,489,0.0,442.6
Completed,3140,464,0.0,460.28
Completed,3146,490,0.0,449.1
Completed,3148,491,0.0,564.0
Completed,3151,492,0.0,452.3
Completed,3162,493,32.85,74.85
Completed,3167,494,0.0,576.0
Completed,3178,495,0.0,218.0
Completed,3186,496,0.0,624.0
Completed,3190,497,0.0,1497.0
Completed,3195,498,0.0,400.1
Completed,3260,499,0.0,448.0
Completed,3267,472,0.0,495.0
Completed,3284,500,0.0,281.8
Completed,3286,501,29.41,215.41
Completed,3293,502,0.0,4051.4
Completed,3308,197,0.0,588.0
Completed,3311,503,28.54,156.54
Completed,3339,504,0.0,588.0
Completed,3355,505,0.0,688.0
Completed,3363,504,0.0,2272.0
Completed,3367,506,0.0,708.0
Completed,3382,2,0.0,1146.0
Completed,3396,507,0.0,572.2
Completed,3399,508,0.0,588.0
Completed,3417,509,0.0,616.0
Completed,3426,510,0.0,590.0
Completed,3432,155,74.24,395.64
Completed,3449,511,0.0,2529.6
Completed,3453,512,0.0,459.6
Completed,3466,513,0.0,419.0
Completed,3473,458,0.0,1750.0
Completed,3538,514,0.0,703.8
Completed,3545,490,0.0,679.4
Completed,3551,515,0.0,998.0
Completed,3554,209,0.0,252.9
Refunded,3558,516,0.0,2195.6
Completed,3631,516,0.0,-2195.6
Completed,3559,516,0.0,2195.6
Completed,3577,517,0.0,588.0
Completed,3586,518,0.0,490.0
Completed,3591,519,0.0,440.0
Completed,3609,85,0.0,1476.0
Completed,3615,520,0.0,998.0
Completed,3617,4,0.0,488.0
Completed,3623,521,0.0,1524.0
Completed,3627,522,0.0,470.0
Completed,3629,523,30.04,258.04
Completed,3638,317,32.65,74.65
Completed,3645,524,21.79,60.09
Completed,3655,525,0.0,1728.0
Completed,3659,526,57.06,253.06
Completed,3665,527,0.0,788.0
Completed,3672,528,0.0,540.0
Completed,3707,529,0.0,2388.0
Completed,3731,530,0.0,2686.4
Completed,3737,531,0.0,410.0
Completed,3762,532,0.0,490.0
Completed,3770,533,0.0,1157.1
Completed,3782,349,0.0,450.8
Completed,3785,211,0.0,450.0
Completed,3792,534,0.0,406.0
Completed,3795,209,0.0,38.3
Completed,3798,535,0.0,434.0
Completed,3820,536,0.0,520.0
Completed,3823,291,0.0,410.0
Completed,3829,537,0.0,1524.0
Completed,3838,538,0.0,436.0
Completed,3842,539,0.0,588.0
Completed,3852,540,0.0,490.0
Completed,3885,194,0.0,2688.0
Completed,3889,541,0.0,588.0
Completed,3892,542,0.0,489.6
Completed,3903,260,0.0,528.0
Completed,3908,543,0.0,594.0
Completed,3915,429,0.0,428.6
Completed,3928,544,0.0,568.0
Completed,3930,190,0.0,1732.0
Completed,3933,545,565.03,2959.03
Completed,3936,546,0.0,648.0
Completed,3940,547,0.0,576.0
Completed,3951,141,0.0,404.0
Completed,3959,548,0.0,1576.0
Completed,3973,549,0.0,514.0
Completed,3997,550,0.0,2734.8
Completed,4001,551,0.0,534.0
Completed,4008,552,0.0,1134.3
Completed,4016,553,0.0,415.2
Refunded,4020,554,0.0,408.0
Completed,5853,554,0.0,-408.0
Completed,4027,555,0.0,1524.0
Completed,4032,47,0.0,588.0
Completed,4043,556,0.0,408.0
Completed,4053,40,0.0,3982.02
Completed,4054,557,0.0,540.0
Completed,4056,413,0.0,420.0
Completed,4058,558,0.0,467.4
Completed,4070,498,0.0,411.0
Completed,4073,559,0.0,498.0
Completed,4077,560,0.0,619.69
Completed,4080,113,0.0,504.0
Completed,4085,561,0.0,440.0
Completed,4090,562,0.0,599.6
Completed,4100,457,0.0,1416.0
Completed,4105,563,0.0,1230.0
Completed,4115,564,0.0,477.4
Completed,4117,565,0.0,491.2
Completed,4118,566,0.0,710.0
Completed,4124,567,0.0,1896.0
Completed,4130,568,0.0,576.0
Completed,4141,569,0.0,784.0
Completed,4155,368,0.0,596.0
Completed,4158,570,0.0,456.0
Completed,4160,571,0.0,408.0
Completed,4175,572,0.0,587.2
Completed,4180,573,54.06,250.06
Completed,4186,281,0.0,432.0
Completed,4189,574,0.0,504.0
Refunded,4192,574,338.0,590.0
Completed,4220,574,0.0,-590.0
Completed,4194,575,0.0,1524.0
Completed,4228,159,0.0,597.6
Completed,4230,576,0.0,654.0
Completed,4231,40,0.0,568.86
Completed,4234,252,0.0,863.5
Completed,4236,255,0.0,874.0
Completed,4241,577,0.0,2836.0
Completed,4247,578,0.0,864.0
Completed,4251,579,0.0,565.2
Completed,4273,580,0.0,956.0
Completed,4286,581,0.0,432.0
Completed,4288,582,0.0,472.0
Completed,4301,583,0.0,1136.0
Completed,4304,584,0.0,540.0
Completed,4307,585,0.0,504.0
Completed,4312,586,0.0,484.0
Completed,4319,587,0.0,408.6
Completed,4323,588,0.0,1262.0
Completed,4329,589,0.0,576.0
Completed,4332,590,0.0,624.0
Completed,4343,591,0.0,508.0
Completed,4352,380,0.0,4287.04
Completed,4365,592,0.0,1434.0
Completed,4372,593,0.0,598.8
Completed,4376,594,0.0,1136.0
Completed,4381,595,0.0,1228.8
Completed,4393,234,0.0,458.0
Cancelled,4396,596,0.0,1378.8
Completed,4400,47,0.0,3003.9
Cancelled,4403,597,30.37,80.27
Cancelled,4406,598,0.0,424.6
Completed,4409,599,0.0,410.0
Cancelled,4410,600,0.0,478.0
Cancelled,4418,601,107.55,382.85
Completed,4421,451,0.0,504.0
Completed,4425,197,0.0,1176.0
Completed,4428,602,0.0,648.0
Cancelled,4430,603,33.49,131.49
Cancelled,4433,604,0.0,1176.0
Cancelled,4437,605,50.03,324.03
Cancelled,4447,606,0.0,409.5
Cancelled,4450,607,0.0,403.8
Cancelled,4452,608,0.0,432.0
Completed,4454,609,0.0,601.2
Completed,4462,610,0.0,468.0
Completed,4466,611,0.0,2160.0
Cancelled,4472,612,0.0,411.5
Completed,4488,613,0.0,744.8
Cancelled,4492,614,0.0,479.8
Cancelled,4493,614,0.0,479.8
Cancelled,4496,453,0.0,524.4
Cancelled,4498,615,66.26,262.26
Completed,4500,616,0.0,525.4
